loss,accuracy,val_loss,val_accuracy,epoch,run,trial
0.6618668,0.60952,0.52224684,0.79452,1,1,1
0.44655725,0.81332,0.3812547,0.83576,2,1,1
0.37798572,0.83768,0.34385857,0.8492,3,1,1
0.34075573,0.85196,0.352177,0.84656,4,1,1
0.31384635,0.86712,0.30479172,0.86864,5,1,1
0.28941655,0.88036,0.3137062,0.86824,6,1,1
0.26491618,0.89256,0.28613052,0.8788,7,1,1
0.24008556,0.90288,0.2751055,0.88392,8,1,1
0.21367827,0.91532,0.29437533,0.87856,9,1,1
0.18654242,0.9278,0.316644,0.87848,10,1,1
0.15928753,0.94064,0.33056536,0.88172,11,1,1
0.1367685,0.95036,0.4016326,0.85872,12,1,1
0.11450767,0.95852,0.3928497,0.87588,13,1,1
0.093061335,0.96736,0.42756727,0.87096,14,1,1
0.08299085,0.97148,0.3932062,0.87808,15,1,1
0.06784697,0.976,0.43932793,0.87588,16,1,1
0.06134828,0.97908,0.5102088,0.86476,17,1,1
0.05054145,0.98296,0.49973747,0.87508,18,1,1
0.0404151,0.98688,0.5004292,0.87824,19,1,1
0.036742747,0.98724,0.72644705,0.85652,20,1,1
0.034324203,0.9886,0.5173697,0.8712,21,1,1
0.029000444,0.9912,0.5682791,0.87752,22,1,1
0.027097657,0.99128,0.656035,0.85924,23,1,1
0.026023053,0.99176,0.5303947,0.87532,24,1,1
0.021930048,0.99312,0.62032187,0.87128,25,1,1
0.020641595,0.99332,0.6267224,0.87856,26,1,1
0.019476442,0.99428,0.6142159,0.87648,27,1,1
0.017290708,0.99524,0.66192764,0.87208,28,1,1
0.015919322,0.99548,0.6236769,0.8696,29,1,1
0.017759698,0.99472,0.63121516,0.87324,30,1,1
0.015082888,0.9954,0.6527064,0.87676,31,1,1
0.013457089,0.99576,0.74909765,0.86068,32,1,1
0.012515582,0.9964,0.6952516,0.87596,33,1,1
0.011852244,0.99688,0.69931924,0.86856,34,1,1
0.010906914,0.99648,0.71751547,0.8748,35,1,1
0.010866712,0.99656,0.76592773,0.87284,36,1,1
0.011076831,0.99672,0.6292764,0.875,37,1,1
0.009382652,0.99744,0.66953653,0.87628,38,1,1
0.007882265,0.99792,0.7361356,0.86704,39,1,1
0.008426754,0.99736,0.73132855,0.87792,40,1,1
0.0077298507,0.99788,0.76168436,0.87792,41,1,1
0.00870322,0.99756,0.828506,0.87208,42,1,1
0.008665974,0.99748,0.7379822,0.86904,43,1,1
0.008666454,0.99708,0.7269018,0.87212,44,1,1
0.0057045645,0.99812,0.842673,0.87732,45,1,1
0.005926679,0.99788,0.8377383,0.8742,46,1,1
0.0047678007,0.99848,0.83105725,0.8726,47,1,1
0.0057022627,0.99804,0.9747045,0.85728,48,1,1
0.005335358,0.99856,0.8275577,0.87128,49,1,1
0.0045833644,0.99848,0.75011975,0.87568,50,1,1
0.0047008824,0.99864,0.84481645,0.8762,51,1,1
0.0043008076,0.99852,0.91603374,0.87184,52,1,1
0.0036026551,0.99868,1.0030546,0.86616,53,1,1
0.0032131088,0.99916,0.8755855,0.8718,54,1,1
0.006510381,0.99772,0.6856467,0.87068,55,1,1
0.003069962,0.99892,1.0346754,0.86288,56,1,1
0.0031450323,0.99908,0.8809079,0.87508,57,1,1
0.0032648332,0.99892,0.9018709,0.87316,58,1,1
0.0035270825,0.99892,0.8879188,0.87364,59,1,1
0.0028368891,0.9992,0.90327096,0.86224,60,1,1
0.0025692377,0.99928,0.91637397,0.87644,61,1,1
0.0038801518,0.99888,0.76936364,0.87804,62,1,1
0.0018312981,0.9994,0.87370056,0.87696,63,1,1
0.0025985965,0.9992,0.9055987,0.8612,64,1,1
0.0022898307,0.999,0.9115758,0.87384,65,1,1
0.0029317578,0.99904,0.84930843,0.8722,66,1,1
0.0007006019,0.99984,1.0359565,0.87,67,1,1
0.0023952813,0.99916,0.9003687,0.86908,68,1,1
0.0010450011,0.9996,1.0447632,0.87232,69,1,1
0.0020677138,0.99936,0.91624284,0.8738,70,1,1
0.0014814936,0.99956,0.9906817,0.87252,71,1,1
0.0016997948,0.9994,0.9541775,0.87248,72,1,1
0.0015203372,0.99928,1.0513989,0.86972,73,1,1
0.0020333782,0.99916,0.9444348,0.87016,74,1,1
0.00049593236,0.99984,1.0511276,0.87572,75,1,1
0.001783259,0.99936,0.9776997,0.87412,76,1,1
0.0013660837,0.99964,0.9668558,0.8712,77,1,1
0.0010370939,0.99964,1.0632429,0.87096,78,1,1
0.0016994338,0.99948,1.0314485,0.86444,79,1,1
0.0011393633,0.99956,1.052771,0.86736,80,1,1
0.0012697045,0.99964,0.9104285,0.87572,81,1,1
0.0015462816,0.99956,0.92545927,0.86888,82,1,1
0.000688299,0.99968,1.0954485,0.86764,83,1,1
0.0005727818,0.99976,1.1392821,0.86912,84,1,1
0.0018136699,0.99944,0.95419586,0.86136,85,1,1
0.00044277834,0.99988,0.95973146,0.87724,86,1,1
0.00025827813,0.99988,1.096432,0.87268,87,1,1
0.0013454827,0.99964,0.9851274,0.86972,88,1,1
0.00030427543,0.99988,1.052639,0.87136,89,1,1
0.00020171888,0.99996,1.1510469,0.86948,90,1,1
0.0016611243,0.99956,0.95856106,0.87192,91,1,1
0.00012731213,1.0,1.0399061,0.87608,92,1,1
0.0009863427,0.99976,1.051886,0.87224,93,1,1
0.00019024355,0.99996,1.0707127,0.8772,94,1,1
1.3089457e-05,1.0,1.1469091,0.87364,95,1,1
0.0019513502,0.9996,0.98917204,0.86504,96,1,1
0.00014926639,0.99996,1.0406497,0.8708,97,1,1
4.4183707e-05,1.0,1.1250753,0.87132,98,1,1
0.00039438554,0.99984,1.1280882,0.86996,99,1,1
0.00014441463,0.99996,1.1480377,0.87168,100,1,1
0.00092301494,0.99968,1.0667135,0.87332,101,1,1
0.00012205529,0.99996,1.1161087,0.87484,102,1,1
0.00029237193,0.99984,1.1658964,0.8722,103,1,1
0.00046069006,0.99984,1.1711113,0.86996,104,1,1
0.00040810564,0.99988,1.1461709,0.87152,105,1,1
0.00041572712,0.99988,1.1460066,0.87544,106,1,1
4.552442e-05,1.0,1.1774777,0.8774,107,1,1
0.0008399961,0.99984,1.0973045,0.87096,108,1,1
0.00017947174,0.99992,1.1256648,0.87084,109,1,1
2.0086602e-05,1.0,1.1608394,0.87248,110,1,1
7.887496e-06,1.0,1.241483,0.86928,111,1,1
5.30192e-06,1.0,1.3363525,0.86612,112,1,1
7.590682e-06,1.0,1.4206238,0.8724,113,1,1
0.00034788979,0.99992,1.4985719,0.8628,114,1,1
0.0003146855,0.99992,1.3897451,0.86944,115,1,1
0.00012523343,0.99996,1.4106358,0.86788,116,1,1
0.0001593617,0.99992,1.4743019,0.8644,117,1,1
0.00039367346,0.99988,1.3226814,0.87184,118,1,1
1.97287e-06,1.0,1.3271348,0.87188,119,1,1
4.717051e-06,1.0,1.3914952,0.86876,120,1,1
0.00038395324,0.99992,1.2957937,0.87612,121,1,1
5.6279274e-05,1.0,1.314413,0.87536,122,1,1
