epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,model_name,batch_size,max_length,learning_rate,seed,trial_idx,run_idx
49,2.9305077117422353e-06,1.0,0.8274504818365245,0.92392,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
50,2.5845130386254975e-06,1.0,0.8359770588290966,0.92384,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
51,2.364187365602654e-06,1.0,0.8441069297340063,0.92388,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
52,2.1390264372691475e-06,1.0,0.8512557571434685,0.92388,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
53,1.8693525772875227e-06,1.0,0.8604426031117626,0.9238,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
54,1.6560249240197184e-06,1.0,0.8681328245926925,0.92388,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
55,1.5148402327466804e-06,1.0,0.8765649684964467,0.9236,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
56,1.3434625876224255e-06,1.0,0.8837286363143826,0.92364,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
57,1.200177061283375e-06,1.0,0.8909371181122024,0.9236,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
58,1.0851837332596255e-06,1.0,0.8991012842777897,0.9234,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
59,9.604484376395145e-07,1.0,0.9061839113111996,0.92348,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
60,8.904348935007744e-07,1.0,0.9141002993487641,0.92368,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
61,7.765420028925551e-07,1.0,0.9234615563536468,0.9236,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
62,7.065141673588082e-07,1.0,0.9299157843889331,0.92344,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
63,6.115478475380432e-07,1.0,0.9376726504462911,0.92336,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
64,5.63495413726553e-07,1.0,0.9456378680217983,0.92356,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
65,5.14656953189684e-07,1.0,0.9536232163276895,0.9234,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
66,4.6840999894739724e-07,1.0,0.9604464626973471,0.9234,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
67,4.1401218575284915e-07,1.0,0.9692053041609047,0.9234,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
68,3.7659254982648297e-07,1.0,0.9756276888339339,0.92344,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
69,3.425933211050985e-07,1.0,0.9831204892510115,0.92348,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
70,2.966131395696069e-07,1.0,0.9905900191325132,0.92336,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
71,2.726083597563722e-07,1.0,0.9994780720233003,0.92352,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
72,2.465980208438376e-07,1.0,1.007534947765567,0.92344,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
73,2.198540569876161e-07,1.0,1.0151632383246632,0.9234,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
74,1.9874090276410816e-07,1.0,1.0232588094242316,0.92356,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
75,1.8202473440438584e-07,1.0,1.029481700633455,0.92336,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
76,1.61873867444675e-07,1.0,1.036803700339497,0.92336,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
77,1.4349989726415377e-07,1.0,1.0460719411854473,0.9234,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
78,1.2940858178736303e-07,1.0,1.0542479173454178,0.92348,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
79,1.1982858333441303e-07,1.0,1.0606089835876928,0.92332,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
80,1.0564199189090972e-07,1.0,1.0687706222724351,0.92348,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
81,9.620014358969296e-08,1.0,1.0777897836064056,0.9234,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
82,8.645341219499593e-08,1.0,1.0835460574959246,0.92328,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
83,7.65923496402438e-08,1.0,1.091596589545193,0.92316,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
84,7.146173883277132e-08,1.0,1.0994300652209603,0.92328,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
85,6.637876600865513e-08,1.0,1.1069562913054396,0.92328,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
86,5.6460537873875454e-08,1.0,1.11431908553652,0.92344,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
87,5.3664188250861205e-08,1.0,1.1209656195643614,0.92324,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
88,4.6751916865863456e-08,1.0,1.1288603594636215,0.92332,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
89,4.12973677715682e-08,1.0,1.1367816406604656,0.9234,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
90,3.9477596807357906e-08,1.0,1.1439834674701208,0.92332,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
91,3.507108334690104e-08,1.0,1.1503503008905198,0.92348,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
92,3.09646891815888e-08,1.0,1.15744274864664,0.92332,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
93,2.8549443425424874e-08,1.0,1.1651967788005577,0.92336,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
94,2.615801666093909e-08,1.0,1.1699830225151975,0.92328,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
95,2.433348189839317e-08,1.0,1.1768090769962962,0.92336,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
96,2.1494258090358255e-08,1.0,1.1840366445424613,0.92344,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
97,1.847877374390507e-08,1.0,1.192643212549903,0.92348,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
98,1.712585501658642e-08,1.0,1.1998606382552393,0.92324,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
99,1.6454159451262726e-08,1.0,1.2076184265410808,0.92324,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
100,1.4324741595236541e-08,1.0,1.2135222452452115,0.92332,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
101,1.3000405657931666e-08,1.0,1.2193699830671405,0.9232,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
102,1.1818983670695664e-08,1.0,1.2266481754505802,0.9232,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
103,1.0656616876802176e-08,1.0,1.234081277847671,0.92312,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
104,9.903936739772786e-09,1.0,1.2406314554316995,0.92312,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
105,9.170311796085914e-09,1.0,1.2456133161216516,0.92312,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
106,7.88408624546607e-09,1.0,1.2513966148676317,0.92324,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
107,7.2505010668274085e-09,1.0,1.2596503106872443,0.92288,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
108,6.607388291517487e-09,1.0,1.26438614508361,0.92288,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
109,5.811833969467436e-09,1.0,1.2698731275604052,0.92276,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
110,5.502187077651548e-09,1.0,1.274445977695572,0.9228,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
111,4.959114067389837e-09,1.0,1.2799832670594498,0.92272,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
112,4.639939578902691e-09,1.0,1.2857349710800992,0.92288,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
113,4.235016720374222e-09,1.0,1.2924607557952024,0.92264,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
114,3.706235105119398e-09,1.0,1.2972347893563987,0.92272,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
115,3.7014713067837686e-09,1.0,1.3029266378468336,0.92284,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
116,3.2584380615702674e-09,1.0,1.306841860079895,0.92272,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
117,2.9678463630968957e-09,1.0,1.3118724647499715,0.92264,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
118,2.720128849644185e-09,1.0,1.317251175751581,0.92248,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
119,2.5343407145546527e-09,1.0,1.3219211879603165,0.9226,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
120,2.0341418893136027e-09,1.0,1.3251523578115512,0.9226,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
121,2.1484730493686998e-09,1.0,1.3306410230000687,0.9226,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
122,1.753077787511489e-09,1.0,1.3336922187415305,0.92252,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
123,1.8245347625459246e-09,1.0,1.3375684133090098,0.9224,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
124,1.5244154674012947e-09,1.0,1.3416849439558776,0.9226,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
125,1.4767774840450043e-09,1.0,1.3459930764725598,0.92264,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
126,1.2862255506198425e-09,1.0,1.3486588201426026,0.92264,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
127,1.3195721389692457e-09,1.0,1.3519396265763837,0.92264,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
128,1.0670908271809063e-09,1.0,1.3553436284365556,0.92256,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
129,1.0766184238521643e-09,1.0,1.3581965726173824,0.9226,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
130,1.0480356338383902e-09,1.0,1.3616955098088668,0.92256,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
131,9.908700538108417e-10,1.0,1.3655437929103214,0.92248,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
132,7.24097347015615e-10,1.0,1.3683677461388928,0.92268,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
133,7.193335486799859e-10,1.0,1.3710944656701878,0.92248,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
134,7.479163386937603e-10,1.0,1.3736910770559096,0.9224,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
135,7.098059520087279e-10,1.0,1.376301310537264,0.92256,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
136,6.19293783631776e-10,1.0,1.3784766503612098,0.9226,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
137,6.24057581967405e-10,1.0,1.3800587831231792,0.92268,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
138,5.430730102617113e-10,1.0,1.3825378166106732,0.92268,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
139,5.001988252410499e-10,1.0,1.3846257821944974,0.92268,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
140,5.716558002754855e-10,1.0,1.3867191774889713,0.92236,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
141,5.097264219123079e-10,1.0,1.3884825952913222,0.92236,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
142,4.859074302341627e-10,1.0,1.3905645409012999,0.92248,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
143,3.7634006851469466e-10,1.0,1.3924544058273287,0.92248,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
144,4.049228585284689e-10,1.0,1.3929197170993175,0.92252,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
145,4.6208843855601746e-10,1.0,1.394291313808135,0.92224,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
146,3.715762701790656e-10,1.0,1.3950019739663508,0.92256,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
147,3.3346588349403323e-10,1.0,1.395837744192966,0.92244,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
148,3.3822968182966225e-10,1.0,1.3966493432021811,0.92256,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
149,4.09686656864098e-10,1.0,1.3970783375098805,0.92264,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
150,2.953554968090009e-10,1.0,1.3971367887723858,0.92244,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
